Response;Submitted on:;Q16_KRITIK DAN SARAN;sentimen
302338;17/09/2025 14.54;Semoga jadi lebih baik lagi;positif
320968;19/09/2025 11.39;Masukan untuk PKKMB  dengan meningkatkan interaksi dan solidaritas, memperkaya materi dengan narasumber praktisi dan pengenalan program kreatif, membuat kegiatan lebih bervariasi dan menghibur. ;positif
276056;10/09/2025 20.34;masukan dari kami mungkin untuk kedepannya terkait informasi dan petunjuk bisa di buat lebih jelas lagi agar kami tidak bingung atau kesulitan, terimakasih;netral
296988;16/09/2025 12.48;gada si tp yg cantik doang yg disorot ih;netral
315398;18/09/2025 22.32;Semoga acara PKKMB ini selalu berjalan lancar tiap tahun dan memeriahkan masa awal menginjak dunia perkuliahan.;positif
279308;11/09/2025 17.09;PKKMB online tahun ini menurut saya sudah cukup bagus dan informatif. Panitia dan pemateri berhasil menyampaikan materi dengan jelas walaupun kegiatan dilakukan secara daring karena kondisi demo. Namun, akan lebih menarik kalau ditambah lebih banyak sesi interaktif seperti kuis atau tanya jawab langsung agar peserta lebih aktif. Dengan begitu, suasana PKKMB akan terasa lebih hidup walaupun dilakukan secara online.;positif
295564;16/09/2025 07.13;Semoga bisa lebih ditingkatkan ;netral
296172;16/09/2025 10.11;Lebih interaktif dengan diadakan kuis atau games;positif
280358;11/09/2025 21.45;Di harapkan jika PKKMB online jaringan stabil;positif
293504;15/09/2025 21.25;semoga kedepannya bisa menggunakan qlat pendukung yang lebih baik lagi;positif
330910;20/09/2025 01.37;bagusnya offline agar ada moment dan lebih seru;positif
276376;10/09/2025 22.23;"untuk kegiatan sudah cukup berjalan sesuai ekspektasii, tapi untuk kedepannya boleh untuk penyampaian materi agar lebih menarik atau tidak monoton, lalu untuk gangguan teknis seperti siaran langsung yang bermasalah boleh lebih ditingkatkan lagi yaa kaa, itu aja. Terimakasih untuk kaka"" panitia  PKKMB 🙏";netral
320508;19/09/2025 10.53; Dari saya pkkmb unpam adalah apresiasi terhadap pendekatan digitalisasi kegiatan dan integrasi materi akademik serta sosial, yang dinilai dapat memperkaya pengalaman kami sebagai mahasiswa baru.;positif
318678;19/09/2025 07.31;Optimalisasi platform karena sering ada kendala;positif
304974;17/09/2025 20.16;kegiatan pkkmb sudah sangat baik,tapi sayang tidak di langsungkan secara offline tetapi sangat berkesan;positif
294128;15/09/2025 22.54;Semoga akses untuk masuk web bisa lebih baik lagi agar tidak terjadi server down dan mempermudah mahasiswa mengikuti kegiatan spmb online ini. Terimakasih;positif
332820;20/09/2025 04.16;Menurut saya kegiatan PKKMB UNPAM sudah baik, mungkin hanya terganggu oleh jaringan tapi hal ini wajar jadi itu saja terimakasih.;positif
300484;16/09/2025 21.39;sepertinya lebih memuaskan lagi jika kegiatan ini dilakukan secara offline;positif
330194;20/09/2025 00.41;mantap pusing mikirin video;positif
312338;18/09/2025 16.57;Kegiatan PKKMB ini merupakan kegiatan yang positif untuk mahasiswa agar dapat mengenal kehidupan kampus. Dikarenakan dengan bersamaan dengan adanya situasi demonstrasi pada waktu yang berdekatan dengan pelaksanaan PKKMB Offline, mengakibatkan PKKMB beralih menjadi online streaming melalui youtube dan zoom. Sehingga bagi saya sebagai mahasiswa baru tidak merasakan seutuhnya euforia PKKMB di dalam kampus.    Tetapi Kegiatan tersebut tidak mengurangi esensi yang disampaikan oleh pihak kampus kepada mahasiswa. Hanya saja dikarenakan ada streaming via youtube yang menurut saya tidak efektif tentang materi yang disampaikan kepada mahasiswa.;netral
337160;20/09/2025 10.12;Harapan saya adalah PKKMB mengajarkan cara memanfaatkan teknologi kampus secara maksimal;positif
301128;16/09/2025 22.59;Sangat mudah, dan bisa di kerjakan di waktu waktu kosong, tpi lebih suka yg offline karna itu yg di tunggu tunggu pas pada saat camaba ;netral
281022;11/09/2025 23.48;kalauperthankan terus program PKKMB yang sudah ada;netral
351956;21/09/2025 12.14;Bagus;positif
333112;20/09/2025 04.37;Semoga setiap PKKMB dapat dilaksanakan secara luring, karena biar lebih seru & lebih berasa vibes 'baru' masuk kuliahnya ^^;positif
346216;21/09/2025 01.31;Sangat bagus dan hebat, karena sama pkkmb online kadang web suka eror, next bisa diperbaiki lagi untuk servernya Pak/Bu🙏🏼;positif
349568;21/09/2025 08.30;Untuk cs tolong adakan kelas sabtu-minggu untuk tatap muka, karna materi saat offline lebih dapat dipahami ;netral
280900;11/09/2025 23.23;PKKMB sudah berjalan dengan baik dan bermanfaat dalam memperkenalkan lingkungan kampus. Namun, akan lebih menarik jika kegiatan dilengkapi dengan sesi interaktif seperti diskusi kelompok atau game edukasi agar mahasiswa baru lebih aktif dan tidak merasa jenuh. Terima Kasih.;positif
285042;12/09/2025 21.01;web nya tolong di percepat lagi, terimakasih.;positif
308244;18/09/2025 08.22;Saya harap PKKMB dilaksanakan secara offline, karena mahasiswa bisa lebih aktif untuk secara langsung bisa mengenal universitas;netral
277036;11/09/2025 01.29;Semoga universitas Pamulang semakin berkembang dan membangun negeri tercinta ;netral
320692;19/09/2025 11.09;karena tahun ini pkkmb nya daringg jadi kurang berkesan, semoga di pkkmb selanjutnya makin seru lagi ya.;netral
310458;18/09/2025 13.32;Kegiatan ini dapat mengembangkan soft skill dan menanamkan nilai-nilai seperti persatuan dan kesatuan bangsa serta kecintaan tanah air. ;netral
294996;16/09/2025 01.07;1. Buat kegiatan lebih interaktif dan menarik, misalnya diskusi atau simulasi.    2. Tambahkan soft skills dan pengenalan organisasi agar mahasiswa baru lebih siap beradaptasi.    3. Libatkan mahasiswa senior sebagai mentor untuk membimbing mahasiswa baru.;positif
281504;12/09/2025 05.08;Pkkmb sangat membantu saya untuk memahami kehidupan kampus dan kegiatan akademik universitas. Saya merasa lebih siap untuk melanjutkan studi disini. ;positif
301750;17/09/2025 13.33;perbaiki web' yang sering error;netral
303568;17/09/2025 17.18;Izin menjawb, untuk PKKMB offline namun dilakukan secara online menurut saya cukup baik, tapi untuk selanjutnya jika terjadi seperi ini lagi semoga bisa dilakukan dengan suasana yang lebih menyenangkan dengan unsur humor atau pendekatan kreatif yang dapat meningkatkan partisipasi maba serta diharapkan ada interaksi yang lebih hangat dan tidak terlalu formal antara panitia dan maba. Dan untuk PKKMB online mohon di perhatikan lagi web nya karena beberapa waktu web nya suka down, semoga bisa ada solusi agar meminimalisir hal ini. Sekian saran saya mohon maaf jika ada salah penulisan, terima kasih;netral
334586;20/09/2025 06.20;Semoga pkkmb di tahun berikut nya bisa lebih maju  ,keren 👍;positif
330182;20/09/2025 00.40;Semoga kedepannya,pkkmb dilaksanakan secara offline. sehingga para mahasiswa baru,dapat memahami semua materi yang di berikan .;netral
295820;16/09/2025 08.44;SEJAUH INI TATA CARA PKKMB SUDAH BERJALAN DENGAN BAIK DAN TERATUR, MASUKAN DARI SAYA TOLONG SERVERNYA LEBIH BERSAHABAT LAGI AGAR MEMUDAHKAN PENGERJAAN PKKMB ONLINE. TERIMA KASIH.;positif
306628;17/09/2025 23.27;sebenernya saya agak sedih karna PKKMB dilaksanakan secara online, namun kegiatan tersebut tidak menghambat semangat saya untuk mengikuti kegiatan PKKMB. saya senang dapat mengikuti PKKMB UNPAM, banyak materi yang saya dapat di acara tersebut, saya suka dengan penjelasan penjelasan yang diberikan karna mudah dipahami oleh saya, SUKSES SELALU UNPAM. ;positif
334054;20/09/2025 05.38;Walaupun online dan ga offline tetapi ga kalah seru nya ambis nya.;positif
345808;21/09/2025 01.05;Semoga kedepannya makin seru, mohon adakan pentas seni;positif
347524;21/09/2025 03.27;web nya sedikit eror jadi nilaunya cuma bisa pas kkm 7;netral
281742;12/09/2025 08.19;pkkmb universitas ini sangat berkesan serta menambah banyak wawan bagi mahasiswa baru, namun saya berharap kuota masuk bagi mahasiswa yang mengikuti pkkmb online mrlalui zoom dapat bertambah, dikarenakan banyak mahasiswa yang ingin bergabung dalam mengikiti pkkmb online melalui zoom ini.  sekian dari saya kurang lebihnya mohon maaf dan terimakasih;netral
306130;17/09/2025 22.29;Kendala Hanya di beberapa akses masuk di website, semoga kedepannya selalu lancar.;positif
296962;16/09/2025 12.45;-;netral
279804;11/09/2025 19.20;jika ppkmb dilakukan secara offline akan lebih mudah di mengerti dan di pahami.;positif
321854;19/09/2025 13.31;Saran saya, biarpun PKKMB melalui zoom bisa dibuat sesi tanya jawab singkat, atau games supaya terasa lebih dekat dan tidak hanya jadi pendengar pasif saja. Terima kasih🙏🙏;netral
295498;16/09/2025 06.48;bagus;positif
328908;19/09/2025 23.13;Sangat bagus dan Menarik;positif
312786;18/09/2025 17.34;Kegiatan yang seru walaupun kegiatan ini di selenggarakan secara online;positif
341512;20/09/2025 18.34;Kemarin sudah meriah, tingkatkan lagi agar lebih meriah ;netral
349714;21/09/2025 08.43;Ppkmb unpam makin lancar dan jaya ;positif
308836;18/09/2025 10.06;Sebagai mahasiswa baru Universitas Pamulang, saya cukup puas terhadap kegiatan PKKMB di kampus ini, semoga kegiatan PKKMB tahun berikutnya semakin lebih baik dan berinovasi terus. ;positif
319406;19/09/2025 08.55;Semoga kedepannya materi PKKMB lebih banyak mendatangkan praktisi yang relevan dengan bidang keilmuan, sehingga kami mendapatkan gambaran dunia kerja yang lebih konkret.;positif
319434;19/09/2025 08.57;Semoga kedepannya materi PKKMB lebih banyak mendatangkan praktisi yang relevan dengan bidang keilmuan, sehingga kami mendapatkan gambaran dunia kerja yang lebih konkret.;positif
319436;19/09/2025 08.57;Semoga kedepannya materi PKKMB lebih banyak mendatangkan praktisi yang relevan dengan bidang keilmuan, sehingga kami mendapatkan gambaran dunia kerja yang lebih konkret.;positif
316406;19/09/2025 00.03;Selalu mengedepankan nilai positif dan pengenalan organisasi lebih menarik.;positif
315968;18/09/2025 23.27;Masukan dari saya adalah web yang lemot menghambat proses mahasiswa mengikuti kegiatan ;netral
305732;17/09/2025 21.40;Kurang seru karna saya kebagian pkkmb yang daring...untuk kedepanya tolong diperbaiki;netral
298470;16/09/2025 16.24;kurang seru karena cs pkkmb full online, tapi materi dari video sangat relafan dengan kehidupan kita;netral
289700;15/09/2025 11.02;PKKMB sangat membantu mahasiswa baru beradaptasi dengan lingkungan kampus dan menambah semangat untuk memulai perkuliahan.  Juga materi yang di sampaikan sangat jelas dan sangat membantu mahasiswa baru dalam memahami apa saja yang terkait dengan kampus, termasuk dari proses pembelajaran offline ataupun online.;positif
300900;16/09/2025 22.30;luar biasa, smangattt terus untuk kaka panitiaa;positif
315514;18/09/2025 22.45;Alamat webnya sering buffering, alangkah baiknya kedepannya agar bisa lebih diatasi, selebihnya aman.;positif
292984;15/09/2025 19.40;Kegiatan waktu pkkmb sangat terbatas karna dilakukan secara online   tak terpungkiri pkkmb online sangat membantu mahasiswa dalam memahami materi ;positif
326300;19/09/2025 20.03;Tahun ini (2025) karena ada demo dimana2 pkkmb nya full online semua. mungkin next bisa offline dan materi nya sih sdh cukup jelas. jadi tahu kalau unpam itu kebanyakan web. pusing dah. tapi tetap harus dijalankan. mungkin saran saja cukup 2 web saja untuk semua. mahasiswa sendiri dari elearning sampai kelulusan itu jadi 1, satunya lagi ya informasi kegiatan / event gtu..   jadi untuk pkkmb tahun ini ya cukup saja. terima kasih;positif
316830;19/09/2025 00.43;sudah bagus lancar terus buat pkkm di tahun depan ;positif
294254;15/09/2025 23.16;Kegiatan pkkmb sangat diperlukan untuk pengenalan lingkungan kampus kepada mahasiswa baru yang ingin masuk ke kampus tersebut;netral
332606;20/09/2025 04.03;masukan saya, bahwa di linknya lemot dan semoga ada perbaikan dari link ini;netral
310620;18/09/2025 13.50;Disediakan nya Proyektor setiap kelas untuk presntasi bilamana kita ada tugas.  makasih;positif
309218;18/09/2025 11.03;-;netral
354194;21/09/2025 19.17;Kegiatan PKKMB online berjalan dengan baik dan informatif. Materinya jelas, mudah diakses, dan sangat membantu saya mengenal lebih jauh tentang UNPAM, program studi, serta lingkungan kampus. Namun, akan lebih baik jika ada sesi interaktif lebih banyak, seperti tanya jawab langsung atau diskusi kelompok, agar peserta bisa lebih aktif dan merasakan pengalaman kampus secara lebih nyata meskipun secara daring.;positif
298526;16/09/2025 16.34;Semoga nantinya tidak online lagi, dan website pkkmb nya mungkin bisa di upgrade agar tidak gampang down.;netral
334640;20/09/2025 06.25;MOHON DIATASI KENDALA SERVER DOWN SAAT MAHASISWA MENGAKSES PORTAL SPMB.UNPAM.AC.ID;netral
317810;19/09/2025 03.38;Untuk PKKMB tahun ini sangat disayangkan diselenggarakan secara online dikarenakan kondisi yang tidak memungkinkan, tetapi alhamdulillah tetal berjalan dengan lancar, masukan dari saya semoga kedepannya jika ada acara online untuk kelancaran internet lebih diperhatikan, supaya peserta PKKMB online bisa dengan seksama mengikuti kegiatan tersebut, terimkasih;positif
350094;21/09/2025 09.18;KEGIATAN PKKMB INI SANGAT MEMBANTU KAMI PARA MAHASISWA UNTUK LEBIH TAU BANYAK TERKAIT KAMPUS UNIVERSITAS PAMULANG ;positif
324408;19/09/2025 17.23;lebih baik lg kedepannya;positif
333696;20/09/2025 05.26;Kegiatan PPKMB sangat bermanfaat karena membantu mahasiswa baru mengenal lingkungan kampus, sistem perkuliahan, serta membangun kebersamaan dengan teman-teman baru. Materi yang disampaikan juga menambah wawasan dan memberikan motivasi untuk memulai perjalanan kuliah dengan semangat. ;positif
297236;16/09/2025 13.24;Untuk kedepannya web yang digunakan jangan sampai down;netral
276114;10/09/2025 21.10;tolong kembalikan pkkmb offline karena jujur masih banyak yang belum saya fahami tentang cara pembelajarannya, mungkin jika offline dan ada yang saya tidak mengerti pasti saya akan langsung bertanya, namun jika online sedikit sulit. Tapi saya tetap bangga bisa menjadi mahasiswa unpam bagaimana pun pkkmbnya. ;negatif
348182;21/09/2025 05.34;Semoga kedepannya PKKMB UNPAM makin maju!!;netral
281548;12/09/2025 06.04;lebih tepat waktu;positif
276388;10/09/2025 22.25;lebih baik lagi kedepannya;positif
329122;19/09/2025 23.28;Tidak ada;netral
327144;19/09/2025 21.07;Kapasitasnya yang tidak memandai;netral
328422;19/09/2025 22.41;tidak ada;netral
351966;21/09/2025 12.16;seruuu bangettt dengan adanya pkkmb jadi punya pengalaman dan sangat membantu untuk jadi lebih tau tentang seputar kampus unpam;positif
352250;21/09/2025 12.43;minimal pkkmb nya offline lah;negatif
303134;17/09/2025 16.37;Tidak ada kritikan karena pkkmbny dilakakuan secara daring, tidak sesuai jadwal yg ada, seharusnya offline;negatif
307918;18/09/2025 07.05;bangga menjadi mahasiswa universitas Pamulang dan mendapatkan banyak wawasan ;netral
293052;15/09/2025 19.55;Karena disaat pelaksanaan PKKMB saya online, maka saya akan memberikan tanggapan cukup 2 ibu jari, untuk para bbapak/ibu dosen, rektor, dan beberapa orang yang terlibat dalam pelaksanaan PKKMB, beliau semua sudah melakukan yang terbaik demi para mahasiswa, memberikan arahan yang sangat amat mudah untuk dimengerti. Namun, dimohon untuk pelaksanaan waktu selalu sesuai dengan waktu yang telah ditentukan.;positif
281422;12/09/2025 02.28;jadwal PKKMB online sebaiknya dimulai sesuai jam yg sudah di tentukan dan aplikasi streaming youtube di upgrade agar tidak lag ketika sedang melakukan streaming;positif
305272;17/09/2025 20.52;semoga pkkmb taun depan tidak online;netral
297320;16/09/2025 13.36;Bagus;positif
294360;15/09/2025 23.32;Semoga kedepannya lebih baik lagi daripada tahun ini ;positif
304842;17/09/2025 19.59;sedikit kecewa karena tidak pkkmb offline, semoga kedepannya lebih baik.;netral
334366;20/09/2025 06.04;semoga tidak ada kendala agar TDK pkkmb online ;netral
307518;18/09/2025 02.15;sudah cukup baik semua kegiatan PKKMB walaupun Online;positif
332104;20/09/2025 03.22;Kegiatan PKKMB sangat bermanfaat karena membantu mengenal lingkungan kampus dan budaya akademik. Semoga tahun berikutnya tetap dipertahankan dan ditingkatkan kualitasnya.;positif
318672;19/09/2025 07.30;sudah cukup, tinggal ditingkatkan sedikit lagi;netral
315470;18/09/2025 22.39;tidak ada;netral
314660;18/09/2025 21.18;masukan untuk kegiatan PKKMB yaitu agar lebih interaktif, relevan dengan kebutuhan mahasiswa baru, menjaga kenyamanan peserta, serta di akhiri dengan evaluasi agar pelaksanaan berikutnya lebih baik.;positif
288444;13/09/2025 17.28;materi ppkkmb yang disampaikan jelas dan mudah di mengerti tetapi sangat disayangkan karena untuk sebagian kelas reguler dilaksanakan secaran online ;positif
290682;15/09/2025 13.41;tidak ada.;netral
348788;21/09/2025 06.57;programnya lebih prepare lagi agar tidak menghambat pengerjaan soal;netral
347472;21/09/2025 03.19;Kegiatan yang sangat mengedukasi dan mamotopasi dalam bersikap dan hal baik lainnya. Dan semoga tahun depan PKKMB tidak online;positif
297302;16/09/2025 13.33;Pkkmb nya menarik, namun lebih menarik apabila offline, karna dapa berjumpa langsung dengan para dosen dan teman teman.;positif
303238;17/09/2025 16.51;Sangat luar biasa, mantap, keren , dan dosen yang luas biasa;positif
303262;17/09/2025 16.53;Pkkmb sangat luar biasa mulai dari zoom dan materi ;positif
295656;16/09/2025 07.50;bagus;positif
322142;19/09/2025 13.59;SEMUA SUKSES DAN BAGUS SEMOGA UNIVERSITAS PAMULANG MELAHIRKAN GENERASI YANG SUKSES DAN CERDAS BERGUNA UNTUK NEGARA DAN BANGSA.  TERIMAKASIH ;positif
301496;17/09/2025 12.47;Semoga tahun ada kegiatan yang bervariatif lagi;positif
353058;21/09/2025 14.38;Agak sedikit sedih dilakukan secara online,tapi gpp karna emang kondisi yang kurang mendukung, terimakasih ;negatif
312856;18/09/2025 17.44;menurut saya dengan adanya pkkmb ini kita jadi bisa lebih fokus pada Pengembangan Soft Skills seperti sesi yang mengasah kemampuan komunikasi, kerja sama tim, dan manajemen waktu untuk persiapan kehidupan kuliah. ;positif
289750;15/09/2025 11.13;PKKMB nya kalo bisa offline saja karena kalo online kurang menarik hehe;netral
286706;13/09/2025 10.47;Tidak ada masukan apapun karna sejauh ini sangat keren sangat memudahkan mahasiswa untuk mengikuti kegiatan PKKMB ;positif
326400;19/09/2025 20.11;Semoga kedepannya bisa lebih baik lagi dan lebih optimal.;positif
282302;12/09/2025 11.12;Pmkmb ok kembangkan lagi;positif
321106;19/09/2025 11.59; pkkmb nya sebernya seru kalo dijalankan nya secara oflline, kemarin online gaenak banget lewat zoom;positif
321108;19/09/2025 11.59; pkkmb nya sebernya seru kalo dijalankan nya secara oflline, kemarin online gaenak banget lewat zoom;positif
336384;20/09/2025 09.04;Smoga Makin Maju Terus Untuk UNPAM;netral
346756;21/09/2025 02.09;Tidak ada, semua sudah bagus;positif
306190;17/09/2025 22.38;Sukses selalu UNPAM;netral
317268;19/09/2025 01.25;PKKMB itu sangat penting bagi mahasiswa karna bisa mengenal teman satu sama lain sebelum masuknya pembelajaran, dan bisa mengenal kehidupan atau lingkungan kampus nya.;netral
347726;21/09/2025 04.04;Menurut saya kegiatan PKKMB ini sangatlah berkesan tapi sayang aku gabisa ngerasain pkkmb secara online ;positif
320192;19/09/2025 10.18;Selipkan kegiatan ice breaking ringan di sela-sela sesi agar peserta tetap semangat. ;positif
313218;18/09/2025 18.22;Semoga unpam semakin berkembang;netral
283608;12/09/2025 16.05;dari kampus unpam saya tumbuh jadi pribadi yang mandiri, belajar, berkembang dan berfikir positif. manfaatkan trus waktu kita dengan baik;netral
321228;19/09/2025 12.14;Sangat sesuai;netral
276262;10/09/2025 22.01;Kegiatan Pengenalan Kehidupan Kampus bagi Mahasiswa Baru (PKKMB) telah terlaksana dengan baik dan memberikan banyak manfaat, khususnya dalam membantu mahasiswa baru beradaptasi dengan lingkungan perkuliahan. Tapi untuk reguler CK ada yang kurang di karenakan pelaksanaanya online .;netral
337202;20/09/2025 10.19;menjaga materi agar relevan dan tidak terlalu memberatkan, menciptakan suasana yang lebih ramah dan hangat dari panitia, meningkatkan interaksi dan partisipasi aktif mahasiswa baru, menyertakan unsur kreatif dan humor.;netral
343314;20/09/2025 21.40;tolong lebih beri informasi yang jelas dan rinci ;positif
298268;16/09/2025 15.55;Sudah cukup baik, semoga kedepannya menjadi lebih baik lagi. ;positif
351742;21/09/2025 11.53;Sudah cukup baik dan jelas;positif
339182;20/09/2025 14.02;Seru dan keren ppkmb nya ;positif
282196;12/09/2025 10.44;sangatt seruuu;positif
282208;12/09/2025 10.47;sangatt seruu;positif
320892;19/09/2025 11.30;"Atau kata untuk PKKMB ""BEST’";positif
335874;20/09/2025 08.21;Untuk info cara mengikuti pkkmb onlinenya jangan sampai terlewat lagi seperti kemarin karna saya jadi tidak tau ada info mengerjakan kuesioner di event unpam;netral
349234;21/09/2025 07.48;Untuk kedepannya semoga web unpam lebih cepat diaksesnya karna sering tiba tiba eror;positif
349264;21/09/2025 07.51;Next link smpb nya lebih dipermudah untuk aksesnya karna suka eror;positif
349352;21/09/2025 08.02;Siap;netral
319026;19/09/2025 08.17;Meskipun online pkkmb berjalan dengan baik.;positif
301090;16/09/2025 22.55;lebih meriah lagi ;netral
306462;17/09/2025 23.06;Jangan ada PKKMB melalui ZOOM, Tidak Excited ;netral
335356;20/09/2025 07.29;semoga kedepannya tidak terlalu banyak pengisian kuesioner;netral
333146;20/09/2025 04.39;seru bngettt, gaada kekurangan, panitia kreatif;netral
354912;21/09/2025 23.19;Semoga tahun depan offline terus, biar merasakan yg namanya PKKMB offline..;positif
318804;19/09/2025 07.47;Menurut saya pelaksanaan PKKMB yang awalnya offline lalu berubah menjadi online adalah hal menyedihkan secara online memang solusi yang tepat di tengah situasi demo yang terjadi sehingga kegiatan tetap bisa berjalan tanpa mengurangi keamanan dan kenyamanan mahasiswa baru tapi agar lebih menarik dan tidak membosankan sebaiknya ditambahkan lebih banyak sesi interaktif seperti tanya jawab langsung Dengan begitu meskipun dilakukan secara daring mahasiswa tetap bisa merasakan suasana kebersamaan dan semangat menjadi bagian dari Universitas Pamulang;netral
347924;21/09/2025 04.47;Sayang acara dilaksanakan secara online padahal acara pertama akan dilaksanakan secara ofline;netral
325716;19/09/2025 19.13;Pkkmb biasanya jadi pengalaman pertama mahasiswa mengenal dunia kampus. Jadi jangan hanya perkenalan jurusan atau aturan kampus, tapi kasih juga materi yang benar-benar kepake, misalnya cara mengatur waktu kuliah, belajar efektif;positif
349746;21/09/2025 08.47;tidak ada;netral
351540;21/09/2025 11.37;Cukup puas karena bisa mengikuti pkkmb dengan lancar ;positif
354036;21/09/2025 18.41;Sangat puas ;positif
354848;21/09/2025 22.56;Sangatt puas tapi kendala di informasi yang agak dadakan lain kali di persiapkan dulu;positif
313614;18/09/2025 19.07;peningkatan kualitas interaksi, serta pengelolaan lingkungan kegiatan yang lebih baik.;positif
325442;19/09/2025 18.51;kegiatan pkkmb sangat membantu mengenalkan unpam sebagai kampus pilihan saya menempuh pendidikan saat ini, dan sangat membantu ketidaktahuan tentang bagaimana berjalannya perkuliahan menjadi mengerti alurnya;positif
276872;11/09/2025 00.32;saya dapat pkkmb online karena keadaan waktu itu sedang kacau, tapi pkkmb online juga seru, tapi sayang sekali saya tidak bisa merasakan keseruan pkkmb secara langsung. tapi itu tidak menjadi masalah, yang penting saya ikut pkkmb. itu saja masukan dari saya :) sekian terimakasih.;positif
349088;21/09/2025 07.30;semoga para maba tahun ini yang mengikuti pkkmb secara online, bisa merasakan pkkmb secara offline. dan semoga panitia yang menjalankan pkkmb bisa lulus dengan tepat waktu;positif
297092;16/09/2025 13.03;pkkmb offline lebih dapat dimengerti dari pada pkkmb online, pkkmb online kemaren banyak sekali yang terkendala dalam pengisian presensi.;netral
307368;18/09/2025 01.25;semoga universitas pamulang lebih berkembang dalam lagi secara sarana pendidikan, pembelajaran yang diberikan harus lebih baik lagi, ;positif
295670;16/09/2025 07.54;Cukup;netral
339656;20/09/2025 15.10;manfaatkan waktu untuk membangun jaringan pertemanan, bertanya kepada senior, fokus pada materi yang disampaikan;positif
294978;16/09/2025 01.04;peningkatan kualitas materi dengan melibatkan praktisi ahli dan penyampaian yang lebih menarik, peningkatan interaksi dan sosialisasi, penyesuaian metode pelaksanaan (terutama saat online) agar lebih fleksibel dan tidak membosankan, serta penyediaan fasilitas pendukung seperti kuota internet bagi mahasiswa baru.;netral
320922;19/09/2025 11.34;Sayang sekali waktu pertama kalinya pkkmb malah online dikarenakan imbas demo, tatapi penjelasan terhadap pkkmb online sangat jelas;positif
298562;16/09/2025 16.40;Sangat jelas dan mudah dipahami ;positif
320004;19/09/2025 09.57;semoga bisa offline ;netral
282300;12/09/2025 11.11;Informasi sudah jelas hanya saja kadang tertimbun dengan mahasiswa yang aktif berulang kali bertanya;positif
347168;21/09/2025 02.45;tidak ada;netral
319200;19/09/2025 08.33;PKKMB UNPAM tahun ini seru dan informatif banget, materinya lumayan lengkap dan bermanfaat buat mahasiswa baru. Mungkin ke depannya bisa ditambah sesi interaktif atau games;positif
334766;20/09/2025 06.37;jangan online lagi, kalo bisa di undur saja;netral
341960;20/09/2025 19.26;Untuk penyampaian materi dari narasumber semua nya bagus, akan tetapi untuk masuk ke website spmb lumayan mengalami banyak kendala salah satu  nya kendala dari website yang overload/error.;netral
344012;20/09/2025 22.41;kegiatan ini menjadi awal dari masuk perkuliahan, semoga tahun depan terus bertambah dengan mahasiswa baru dan menjadi mahasiswa yang berprestasi dan berguna bagi masyarakat.;positif
344026;20/09/2025 22.42;kegiatan ini menjadi awal dari masuk perkuliahan, semoga tahun depan terus bertambah dengan mahasiswa baru dan menjadi mahasiswa yang berprestasi dan berguna bagi masyarakat.;positif
300936;16/09/2025 22.33;Sangat di sayangkan karena di ubah menjadi online, next bisa di atur kembali jadwalnya agar tidak terjadi perubahan lagi. terimakasih;netral
336520;20/09/2025 09.17;akan lebih baik jika PKKMB dilakukan secara offline;positif
304586;17/09/2025 19.29;Sangat bagus untuk mengatur ulang jadwal karena ada sesuatu yang tidak memungkinkan datang ke kampus.;positif
314438;18/09/2025 20.57;PKKMB sepertinya lebih asik dilakukan secara offline agar mengenal satu sama lain antar mahasiswa;positif
321542;19/09/2025 12.58;durasi diatur agar tidak terlalu lama. serta menggunakan platfrom yang stabil. selain itu, perlu ditambahkan ice breaking untuk mencairkan suasana dan disediakan rekaman atau materi bagi peserta yang terkendala jaringan.;positif
316340;18/09/2025 23.57;semoga dikembangkan lagi, terutama online seperti ini yang mana website lemot karena banyaknya akses pengguna.;negatif
279928;11/09/2025 19.50;Pkkmb sangat membantu mahasiswa baru untuk mengenali lingkungan universitas Dan apa saja yang ada didalamnya;positif
319658;19/09/2025 09.20;1. Banyak peserta mengalami kendala teknis seperti jaringan internet tidak stabil.  2. Sesi daring terasa terlalu panjang dan melelahkan karena tanpa jeda yang cukup.  3. Kurangnya interaksi membuat suasana acara jadi membosankan.;netral
341180;20/09/2025 17.54;Tidak ada, untuk pelaksanaan PKKMB online semuanya baik;positif
316032;18/09/2025 23.32;ya cukup;netral
351146;21/09/2025 11.01;seru;positif
321110;19/09/2025 12.00;sangat amat bermanfaat untuk menjalani kegiatan belajar dikampus nanti;positif
306886;17/09/2025 23.59;good, semua informasi yang ada di pkkmb tersebut penting untuk kedepannya ;positif
332358;20/09/2025 03.42;masukan dari saya kegiatan pkkmb online ini mungkin bisa di perbaiki servernya agar ketika mahasiswa mengakses secara bersamaan server tidak error, sekian masukan dari saya terimakasih ;netral
309280;18/09/2025 11.13;semoga dapat melakukan pkkmb offline ;netral
321502;19/09/2025 12.53;ga seru soalnya kebagian online, tapi seru dikit dapet pembelajaran dari YouTube ;positif
321504;19/09/2025 12.53;ga seru soalnya kebagian online, tapi seru dikit dapet pembelajaran dari YouTube ;positif
276530;10/09/2025 22.58; lebih baik lagi kedepannya;positif
298812;16/09/2025 17.17;sebaiknya pkkmb tidak dilakukan dengan online;positif
296688;16/09/2025 11.52;Sangat bagus;positif
